"unicef_region","iso3","country","vaccine","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","1989","1988","1987","1986","1985","1984","1983","1982","1981","1980"
"West & Central Africa","NER","Niger","YFV","78.0","82.0","76.0","84.0","79.0","75.0","73.0","52.0","64.0","67.0","47.0","37.0","32.0","37.0","32.0","26.0","21.0","15.0","10.0","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","NGA","Nigeria","YFV","65.0","65.0","65.0","41.0","49.0","47.0","24.0","38.0","50.0","69.0","50.0","51.0","44.0","36.0","21.0","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","PAN","Panama","YFV","6.0","6.0","6.0","5.0","5.0","4.0","5.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","PRY","Paraguay","YFV","99.0","99.0","99.0","93.0","85.0","97.0","87.0","86.0","86.0","76.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","PER","Peru","YFV","65.0","63.0","64.0","67.0","65.0","64.0","58.0","51.0","61.0","66.0","82.0","87.0","91.0","78.0","57.0","47.0","36.0","26.0","8.0","","","","","","","","","","","","","","","","","","","",""
"Eastern & Southern Africa","RWA","Rwanda","YFV","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","STP","Sao Tome and Principe","YFV","","","","","","91.0","92.0","91.0","92.0","90.0","94.0","86.0","85.0","68.0","51.0","34.0","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","SEN","Senegal","YFV","75.0","80.0","87.0","80.0","80.0","83.0","80.0","84.0","80.0","76.0","81.0","86.0","80.0","75.0","75.0","59.0","53.0","34.0","34.0","43.0","50.0","","","","","","","","","","","","","","","","","",""
"West & Central Africa","SLE","Sierra Leone","YFV","80.0","80.0","80.0","78.0","80.0","85.0","85.0","83.0","82.0","80.0","64.0","60.0","61.0","63.0","64.0","62.0","60.0","","","","","","","","","","","","","","","","","","","","","",""
"Eastern & Southern Africa","SOM","Somalia","YFV","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern & Southern Africa","SSD","South Sudan","YFV","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern & Southern Africa","SDN","Sudan","YFV","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","SUR","Suriname","YFV","79.0","85.0","79.0","86.0","79.0","76.0","73.0","10.0","11.0","11.0","11.0","12.0","14.0","18.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","TGO","Togo","YFV","86.0","91.0","86.0","85.0","82.0","72.0","72.0","72.0","67.0","64.0","63.0","67.0","76.0","56.0","1.0","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","TTO","Trinidad and Tobago","YFV","88.0","95.0","85.0","91.0","96.0","89.0","85.0","95.0","95.0","94.0","86.0","90.0","88.0","93.0","90.0","88.0","88.0","91.0","91.0","91.0","91.0","","","","","","","","","","","","","","","","","",""
"Eastern & Southern Africa","UGA","Uganda","YFV","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern & Southern Africa","TZA","United Republic of Tanzania","YFV","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","VEN","Venezuela (Bolivarian Republic of)","YFV","35.0","83.0","84.0","85.0","82.0","85.0","87.0","73.0","48.0","77.0","77.0","65.0","73.0","94.0","94.0","82.0","27.0","28.0","17.0","","","","","","","","","","","","","","","","","","","",""
