"unicef_region","iso3","country","vaccine","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","1989","1988","1987","1986","1985","1984","1983","1982","1981","1980"
"Eastern & Southern Africa","BDI","Burundi","HIB3","90.0","91.0","94.0","94.0","95.0","96.0","96.0","96.0","96.0","94.0","92.0","99.0","92.0","87.0","83.0","","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","CPV","Cabo Verde","HIB3","99.0","97.0","96.0","94.0","96.0","93.0","94.0","90.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","KHM","Cambodia","HIB3","92.0","93.0","93.0","92.0","91.0","86.0","89.0","88.0","86.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","CMR","Cameroon","HIB3","79.0","86.0","85.0","84.0","87.0","89.0","85.0","82.0","84.0","80.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"North America","CAN","Canada","HIB3","91.0","91.0","91.0","91.0","91.0","91.0","90.0","89.0","90.0","91.0","92.0","93.0","95.0","93.0","91.0","88.0","88.0","88.0","88.0","88.0","88.0","87.0","84.0","","","","","","","","","","","","","","","",""
"West & Central Africa","CAF","Central African Republic","HIB3","47.0","47.0","47.0","47.0","47.0","23.0","47.0","47.0","45.0","42.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","TCD","Chad","HIB3","41.0","41.0","41.0","42.0","36.0","39.0","40.0","33.0","39.0","24.0","17.0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","CHL","Chile","HIB3","95.0","93.0","95.0","97.0","95.0","90.0","90.0","94.0","92.0","94.0","95.0","96.0","94.0","91.0","93.0","96.0","97.0","97.0","91.0","95.0","90.0","90.0","91.0","","","","","","","","","","","","","","","",""
"East Asia & Pacific","CHN","China","HIB3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","COL","Colombia","HIB3","92.0","92.0","91.0","91.0","90.0","91.0","91.0","85.0","88.0","92.0","92.0","93.0","93.0","93.0","89.0","93.0","69.0","55.0","65.0","64.0","62.0","","","","","","","","","","","","","","","","","",""
"Eastern & Southern Africa","COM","Comoros","HIB3","91.0","91.0","91.0","91.0","88.0","88.0","89.0","83.0","74.0","38.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","COG","Congo","HIB3","75.0","69.0","71.0","80.0","90.0","85.0","64.0","71.0","74.0","72.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","COK","Cook Islands","HIB3","99.0","99.0","99.0","99.0","99.0","98.0","98.0","93.0","99.0","82.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","CRI","Costa Rica","HIB3","94.0","96.0","97.0","92.0","91.0","95.0","90.0","81.0","90.0","87.0","87.0","88.0","88.0","89.0","90.0","87.0","93.0","89.0","92.0","68.0","26.0","","","","","","","","","","","","","","","","","",""
"West & Central Africa","CIV","Cote d'Ivoire","HIB3","82.0","83.0","85.0","77.0","73.0","75.0","82.0","62.0","85.0","81.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern Europe & Central Asia","HRV","Croatia","HIB3","94.0","92.0","93.0","94.0","95.0","96.0","96.0","96.0","97.0","96.0","96.0","96.0","96.0","96.0","95.0","95.0","79.0","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","CUB","Cuba","HIB3","99.0","99.0","99.0","99.0","97.0","96.0","96.0","96.0","96.0","96.0","97.0","97.0","97.0","94.0","99.0","99.0","99.0","99.0","99.0","99.0","","","","","","","","","","","","","","","","","","",""
"Western Europe","CYP","Cyprus","HIB3","97.0","96.0","96.0","97.0","96.0","96.0","96.0","96.0","96.0","96.0","90.0","90.0","90.0","58.0","58.0","58.0","32.0","32.0","32.0","","","","","","","","","","","","","","","","","","","",""
"Western Europe","CZE","Czechia","HIB3","94.0","94.0","96.0","97.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","97.0","97.0","98.0","97.0","95.0","","","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","PRK","Democratic People's Republic of Korea","HIB3","97.0","97.0","96.0","96.0","93.0","93.0","32.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","COD","Democratic Republic of the Congo","HIB3","81.0","81.0","79.0","81.0","80.0","74.0","75.0","74.0","60.0","72.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Western Europe","DNK","Denmark","HIB3","97.0","98.0","94.0","93.0","94.0","94.0","94.0","91.0","90.0","89.0","88.0","87.0","93.0","93.0","95.0","96.0","96.0","95.0","95.0","95.0","97.0","99.0","93.0","78.0","88.0","82.0","","","","","","","","","","","","",""
"Eastern & Southern Africa","DJI","Djibouti","HIB3","84.0","76.0","68.0","84.0","78.0","82.0","81.0","87.0","88.0","89.0","89.0","25.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","DMA","Dominica","HIB3","94.0","91.0","99.0","98.0","97.0","96.0","97.0","98.0","98.0","99.0","96.0","93.0","7.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","DOM","Dominican Republic","HIB3","90.0","77.0","73.0","76.0","87.0","75.0","70.0","71.0","81.0","77.0","79.0","70.0","80.0","87.0","80.0","75.0","43.0","20.0","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","ECU","Ecuador","HIB3","85.0","85.0","83.0","78.0","83.0","87.0","87.0","88.0","90.0","93.0","95.0","95.0","94.0","90.0","86.0","54.0","","","","","","","","","","","","","","","","","","","","","","",""
"Middle East & North Africa","EGY","Egypt","HIB3","95.0","94.0","95.0","93.0","94.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","SLV","El Salvador","HIB3","81.0","85.0","93.0","91.0","93.0","92.0","92.0","89.0","89.0","91.0","98.0","99.0","96.0","89.0","90.0","94.0","81.0","","","","","","","","","","","","","","","","","","","","","",""
