"unicef_region","iso3","country","vaccine","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","1989","1988","1987","1986","1985","1984","1983","1982","1981","1980"
"East Asia & Pacific","BRN","Brunei Darussalam","HEPB3","99.0","99.0","99.0","99.0","99.0","98.0","99.0","93.0","96.0","96.0","96.0","97.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","93.0","99.0","98.0","98.0","99.0","99.0","99.0","96.0","96.0","96.0","","","","","","","","","",""
"Eastern Europe & Central Asia","BGR","Bulgaria","HEPB3","85.0","92.0","91.0","92.0","95.0","95.0","95.0","96.0","95.0","96.0","96.0","95.0","96.0","96.0","94.0","96.0","88.0","93.0","94.0","97.0","97.0","77.0","94.0","95.0","94.0","96.0","71.0","","","","","","","","","","","",""
"West & Central Africa","BFA","Burkina Faso","HEPB3","91.0","91.0","91.0","91.0","91.0","88.0","90.0","91.0","91.0","92.0","93.0","89.0","76.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern & Southern Africa","BDI","Burundi","HEPB3","90.0","91.0","94.0","94.0","95.0","96.0","96.0","96.0","96.0","94.0","92.0","99.0","92.0","87.0","83.0","","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","CPV","Cabo Verde","HEPB3","99.0","97.0","96.0","94.0","96.0","93.0","94.0","90.0","98.0","98.0","98.0","96.0","95.0","93.0","91.0","66.0","40.0","","","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","KHM","Cambodia","HEPB3","92.0","93.0","93.0","92.0","91.0","86.0","91.0","91.0","91.0","92.0","91.0","82.0","80.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","CMR","Cameroon","HEPB3","79.0","86.0","85.0","84.0","87.0","89.0","85.0","82.0","84.0","80.0","84.0","82.0","81.0","79.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"North America","CAN","Canada","HEPB3","71.0","71.0","70.0","69.0","55.0","55.0","70.0","70.0","56.0","42.0","28.0","14.0","14.0","14.0","14.0","14.0","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","CAF","Central African Republic","HEPB3","47.0","47.0","47.0","47.0","47.0","23.0","47.0","47.0","45.0","42.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","TCD","Chad","HEPB3","41.0","41.0","41.0","42.0","36.0","39.0","40.0","33.0","39.0","24.0","17.0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","CHL","Chile","HEPB3","95.0","93.0","95.0","97.0","95.0","90.0","90.0","94.0","92.0","94.0","95.0","92.0","95.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","CHN","China","HEPB3","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","95.0","92.0","91.0","84.0","79.0","75.0","70.0","65.0","60.0","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","COL","Colombia","HEPB3","92.0","92.0","91.0","91.0","90.0","91.0","92.0","85.0","88.0","92.0","92.0","93.0","93.0","93.0","89.0","92.0","78.0","80.0","78.0","77.0","75.0","85.0","95.0","71.0","","","","","","","","","","","","","","",""
"Eastern & Southern Africa","COM","Comoros","HEPB3","91.0","91.0","91.0","91.0","88.0","88.0","89.0","83.0","74.0","83.0","81.0","75.0","69.0","68.0","77.0","28.0","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","COG","Congo","HEPB3","75.0","69.0","71.0","80.0","90.0","85.0","62.0","70.0","74.0","75.0","73.0","64.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","COK","Cook Islands","HEPB3","99.0","99.0","99.0","99.0","99.0","98.0","98.0","93.0","99.0","82.0","99.0","99.0","99.0","99.0","99.0","93.0","93.0","93.0","98.0","90.0","88.0","99.0","65.0","85.0","79.0","76.0","98.0","85.0","71.0","","","","","","","","","",""
"Latin America & Caribbean","CRI","Costa Rica","HEPB3","98.0","97.0","97.0","92.0","91.0","94.0","91.0","84.0","89.0","87.0","89.0","89.0","88.0","90.0","89.0","86.0","94.0","80.0","89.0","83.0","86.0","76.0","","","","","","","","","","","","","","","","",""
"West & Central Africa","CIV","Cote d'Ivoire","HEPB3","82.0","83.0","85.0","77.0","73.0","75.0","82.0","62.0","85.0","81.0","74.0","76.0","77.0","76.0","67.0","63.0","48.0","10.0","","","","","","","","","","","","","","","","","","","","",""
"Eastern Europe & Central Asia","HRV","Croatia","HEPB3","93.0","92.0","92.0","94.0","95.0","96.0","96.0","96.0","97.0","97.0","97.0","94.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","CUB","Cuba","HEPB3","99.0","99.0","99.0","99.0","97.0","96.0","96.0","96.0","96.0","96.0","95.0","93.0","89.0","95.0","99.0","99.0","98.0","98.0","98.0","99.0","98.0","98.0","99.0","99.0","98.0","84.0","","","","","","","","","","","","",""
"Western Europe","CYP","Cyprus","HEPB3","97.0","97.0","97.0","97.0","96.0","96.0","96.0","96.0","96.0","96.0","93.0","93.0","93.0","88.0","88.0","88.0","88.0","89.0","89.0","89.0","88.0","88.0","88.0","68.0","54.0","41.0","27.0","20.0","","","","","","","","","","",""
"Western Europe","CZE","Czechia","HEPB3","94.0","94.0","96.0","97.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","98.0","99.0","98.0","92.0","86.0","","","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","PRK","Democratic People's Republic of Korea","HEPB3","97.0","97.0","96.0","96.0","93.0","93.0","96.0","94.0","93.0","93.0","92.0","92.0","96.0","92.0","98.0","27.0","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","COD","Democratic Republic of the Congo","HEPB3","81.0","81.0","79.0","81.0","80.0","74.0","75.0","74.0","60.0","72.0","65.0","70.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Western Europe","DNK","Denmark","HEPB3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern & Southern Africa","DJI","Djibouti","HEPB3","84.0","76.0","68.0","84.0","78.0","82.0","81.0","87.0","88.0","89.0","88.0","25.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","DMA","Dominica","HEPB3","94.0","91.0","99.0","98.0","97.0","96.0","97.0","98.0","98.0","99.0","96.0","93.0","7.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","DOM","Dominican Republic","HEPB3","92.0","81.0","80.0","81.0","89.0","80.0","74.0","80.0","83.0","80.0","81.0","81.0","84.0","87.0","82.0","79.0","63.0","66.0","68.0","76.0","62.0","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","ECU","Ecuador","HEPB3","85.0","85.0","83.0","78.0","83.0","87.0","88.0","88.0","90.0","91.0","93.0","94.0","96.0","92.0","88.0","82.0","75.0","69.0","36.0","","","","","","","","","","","","","","","","","","","",""
"Middle East & North Africa","EGY","Egypt","HEPB3","95.0","94.0","95.0","93.0","94.0","97.0","93.0","96.0","97.0","97.0","97.0","98.0","98.0","98.0","97.0","98.0","97.0","99.0","98.0","97.0","88.0","81.0","77.0","74.0","57.0","","","","","","","","","","","","","",""
"Latin America & Caribbean","SLV","El Salvador","HEPB3","81.0","85.0","93.0","91.0","93.0","92.0","92.0","89.0","89.0","91.0","98.0","99.0","96.0","89.0","90.0","94.0","81.0","75.0","99.0","1.0","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","GNQ","Equatorial Guinea","HEPB3","25.0","25.0","19.0","16.0","20.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern & Southern Africa","ERI","Eritrea","HEPB3","95.0","95.0","95.0","95.0","94.0","94.0","94.0","94.0","95.0","95.0","95.0","95.0","94.0","96.0","84.0","91.0","86.0","","","","","","","","","","","","","","","","","","","","","",""
"Western Europe","EST","Estonia","HEPB3","93.0","92.0","93.0","91.0","93.0","93.0","94.0","94.0","94.0","95.0","94.0","95.0","95.0","95.0","90.0","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern & Southern Africa","SWZ","Eswatini","HEPB3","90.0","90.0","90.0","90.0","98.0","98.0","95.0","91.0","89.0","88.0","90.0","92.0","93.0","95.0","93.0","90.0","88.0","86.0","83.0","81.0","78.0","76.0","76.0","","","","","","","","","","","","","","","",""
"Eastern & Southern Africa","ETH","Ethiopia","HEPB3","72.0","73.0","73.0","73.0","61.0","59.0","62.0","65.0","62.0","56.0","52.0","47.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","FJI","Fiji","HEPB3","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","98.0","98.0","98.0","98.0","98.0","90.0","82.0","60.0","88.0","","","","","","","","","","","","",""
"Western Europe","FIN","Finland","HEPB3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Western Europe","FRA","France","HEPB3","90.0","90.0","90.0","88.0","83.0","82.0","78.0","74.0","64.0","51.0","47.0","42.0","39.0","35.0","35.0","28.0","29.0","28.0","26.0","24.0","27.0","","","","","","","","","","","","","","","","","",""
"West & Central Africa","GAB","Gabon","HEPB3","70.0","75.0","75.0","80.0","70.0","79.0","82.0","75.0","67.0","79.0","82.0","75.0","52.0","28.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","GMB","Gambia","HEPB3","93.0","92.0","95.0","97.0","96.0","97.0","98.0","96.0","97.0","97.0","98.0","97.0","95.0","95.0","95.0","94.0","92.0","91.0","91.0","93.0","92.0","94.0","88.0","87.0","57.0","56.0","","78.0","","","","","","","","","","",""
"Eastern Europe & Central Asia","GEO","Georgia","HEPB3","93.0","91.0","92.0","94.0","91.0","96.0","92.0","89.0","95.0","54.0","89.0","94.0","84.0","79.0","64.0","48.0","51.0","61.0","55.0","","","","","","","","","","","","","","","","","","","",""
"Western Europe","DEU","Germany","HEPB3","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","88.0","88.0","87.0","86.0","87.0","90.0","88.0","90.0","87.0","86.0","84.0","81.0","81.0","71.0","57.0","45.0","32.0","15.0","","","","","","","","","","","","",""
"West & Central Africa","GHA","Ghana","HEPB3","97.0","99.0","93.0","88.0","98.0","90.0","92.0","91.0","94.0","94.0","93.0","94.0","84.0","84.0","80.0","80.0","80.0","","","","","","","","","","","","","","","","","","","","","",""
"Western Europe","GRC","Greece","HEPB3","96.0","96.0","96.0","96.0","96.0","98.0","98.0","95.0","95.0","95.0","95.0","95.0","94.0","93.0","92.0","92.0","91.0","90.0","89.0","88.0","69.0","50.0","12.0","12.0","2.0","2.0","15.0","10.0","","","","","","","","","","",""
"Latin America & Caribbean","GRD","Grenada","HEPB3","96.0","96.0","96.0","92.0","97.0","97.0","97.0","94.0","97.0","99.0","99.0","96.0","91.0","99.0","83.0","97.0","98.0","96.0","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","GTM","Guatemala","HEPB3","86.0","82.0","80.0","74.0","73.0","85.0","96.0","88.0","94.0","92.0","95.0","85.0","89.0","87.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","GIN","Guinea","HEPB3","45.0","45.0","45.0","45.0","44.0","50.0","57.0","63.0","64.0","57.0","57.0","57.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","GNB","Guinea-Bissau","HEPB3","88.0","88.0","88.0","88.0","88.0","87.0","87.0","89.0","82.0","80.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","GUY","Guyana","HEPB3","95.0","97.0","97.0","95.0","98.0","98.0","97.0","93.0","95.0","98.0","93.0","94.0","93.0","93.0","91.0","90.0","91.0","85.0","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","HTI","Haiti","HEPB3","64.0","64.0","64.0","64.0","63.0","68.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","HND","Honduras","HEPB3","90.0","89.0","94.0","98.0","98.0","98.0","98.0","97.0","97.0","97.0","92.0","93.0","94.0","97.0","93.0","91.0","94.0","95.0","93.0","","","","","","","","","","","","","","","","","","","",""
"Western Europe","HUN","Hungary","HEPB3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Western Europe","ISL","Iceland","HEPB3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"South Asia","IND","India","HEPB3","89.0","89.0","88.0","87.0","79.0","70.0","73.0","44.0","38.0","37.0","29.0","6.0","6.0","8.0","6.0","","","","","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","IDN","Indonesia","HEPB3","79.0","79.0","79.0","78.0","78.0","85.0","83.0","81.0","83.0","82.0","82.0","76.0","66.0","65.0","64.0","64.0","63.0","62.0","65.0","77.0","76.0","65.0","62.0","50.0","42.0","43.0","28.0","","","","","","","","","","","",""
"Middle East & North Africa","IRN","Iran (Islamic Republic of)","HEPB3","99.0","99.0","99.0","98.0","99.0","99.0","98.0","99.0","99.0","99.0","99.0","97.0","98.0","94.0","95.0","98.0","99.0","94.0","99.0","95.0","94.0","93.0","84.0","59.0","62.0","","","","","","","","","","","","","",""
"Middle East & North Africa","IRQ","Iraq","HEPB3","84.0","85.0","73.0","68.0","69.0","68.0","62.0","78.0","72.0","75.0","66.0","56.0","59.0","65.0","62.0","63.0","65.0","66.0","67.0","52.0","3.0","65.0","22.0","57.0","40.0","","","","","","","","","","","","","",""
"Western Europe","IRL","Ireland","HEPB3","94.0","95.0","95.0","95.0","95.0","95.0","95.0","95.0","46.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Middle East & North Africa","ISR","Israel","HEPB3","97.0","97.0","95.0","96.0","97.0","97.0","97.0","98.0","97.0","98.0","99.0","99.0","96.0","96.0","99.0","98.0","98.0","96.0","98.0","96.0","97.0","97.0","96.0","93.0","92.0","92.0","92.0","","","","","","","","","","","",""
"Western Europe","ITA","Italy","HEPB3","95.0","94.0","93.0","93.0","95.0","96.0","96.0","96.0","96.0","96.0","96.0","97.0","96.0","96.0","96.0","95.0","95.0","95.0","94.0","97.0","95.0","95.0","95.0","95.0","95.0","95.0","95.0","95.0","","","","","","","","","","",""
"Latin America & Caribbean","JAM","Jamaica","HEPB3","97.0","93.0","98.0","91.0","92.0","93.0","96.0","92.0","94.0","90.0","92.0","92.0","97.0","99.0","98.0","36.0","","","","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","JPN","Japan","HEPB3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Middle East & North Africa","JOR","Jordan","HEPB3","96.0","99.0","98.0","99.0","98.0","98.0","98.0","98.0","98.0","98.0","97.0","98.0","98.0","95.0","95.0","97.0","95.0","97.0","93.0","92.0","91.0","90.0","85.0","54.0","","","","","","","","","","","","","","",""
"Eastern Europe & Central Asia","KAZ","Kazakhstan","HEPB3","98.0","99.0","82.0","98.0","95.0","99.0","95.0","99.0","99.0","99.0","99.0","94.0","99.0","94.0","99.0","99.0","95.0","95.0","99.0","90.0","49.0","","","","","","","","","","","","","","","","","",""
"Eastern & Southern Africa","KEN","Kenya","HEPB3","92.0","82.0","89.0","89.0","92.0","93.0","94.0","96.0","90.0","88.0","88.0","81.0","80.0","76.0","73.0","73.0","84.0","","","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","KIR","Kiribati","HEPB3","95.0","90.0","81.0","82.0","75.0","95.0","94.0","95.0","91.0","86.0","83.0","96.0","88.0","50.0","67.0","73.0","79.0","85.0","90.0","82.0","89.0","97.0","66.0","36.0","36.0","8.0","6.0","7.0","73.0","","","","","","","","","",""
"Middle East & North Africa","KWT","Kuwait","HEPB3","99.0","99.0","99.0","99.0","96.0","99.0","98.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","94.0","99.0","99.0","99.0","95.0","95.0","99.0","98.0","99.0","99.0","93.0","91.0","38.0","","","","","","","","","","","",""
"Eastern Europe & Central Asia","KGZ","Kyrgyzstan","HEPB3","92.0","92.0","96.0","97.0","96.0","97.0","96.0","96.0","96.0","96.0","97.0","94.0","90.0","97.0","99.0","99.0","99.0","57.0","44.0","10.0","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","LAO","Lao People's Democratic Republic","HEPB3","68.0","69.0","66.0","81.0","88.0","87.0","79.0","78.0","74.0","67.0","61.0","50.0","57.0","49.0","45.0","50.0","","","","","","","","","","","","","","","","","","","","","","",""
"Western Europe","LVA","Latvia","HEPB3","96.0","98.0","98.0","94.0","92.0","94.0","90.0","89.0","91.0","92.0","93.0","91.0","94.0","99.0","98.0","98.0","98.0","96.0","95.0","94.0","9.0","","","","","","","","","","","","","","","","","",""
"Middle East & North Africa","LBN","Lebanon","HEPB3","80.0","80.0","80.0","80.0","80.0","80.0","80.0","80.0","81.0","81.0","81.0","80.0","78.0","77.0","75.0","74.0","77.0","80.0","83.0","86.0","","","","","","","","","","","","","","","","","","",""
"Eastern & Southern Africa","LSO","Lesotho","HEPB3","93.0","93.0","93.0","93.0","93.0","93.0","95.0","96.0","93.0","91.0","88.0","90.0","91.0","87.0","60.0","17.0","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","LBR","Liberia","HEPB3","84.0","86.0","79.0","52.0","50.0","76.0","80.0","77.0","47.0","64.0","64.0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Middle East & North Africa","LBY","Libya","HEPB3","97.0","96.0","97.0","97.0","94.0","96.0","98.0","98.0","98.0","98.0","98.0","98.0","98.0","97.0","99.0","96.0","91.0","93.0","92.0","92.0","92.0","91.0","93.0","92.0","92.0","91.0","88.0","","","","","","","","","","","",""
