"unicef_region","iso3","country","vaccine","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","1989","1988","1987","1986","1985","1984","1983","1982","1981","1980"
"West & Central Africa","CPV","Cabo Verde","MCV2","88.0","85.0","92.0","95.0","79.0","89.0","94.0","99.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","KHM","Cambodia","MCV2","70.0","72.0","67.0","61.0","62.0","52.0","41.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","CMR","Cameroon","MCV2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"North America","CAN","Canada","MCV2","87.0","87.0","86.0","86.0","86.0","86.0","83.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","CAF","Central African Republic","MCV2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","TCD","Chad","MCV2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","CHL","Chile","MCV2","93.0","90.0","87.0","89.0","88.0","78.0","74.0","77.0","84.0","89.0","89.0","95.0","95.0","96.0","96.0","","","","","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","CHN","China","MCV2","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","98.0","95.0","92.0","94.0","84.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","COL","Colombia","MCV2","88.0","89.0","87.0","86.0","88.0","72.0","80.0","76.0","74.0","71.0","70.0","93.0","85.0","73.0","70.0","70.0","93.0","83.0","84.0","","","","","","","","","","","","","","","","","","","",""
"Eastern & Southern Africa","COM","Comoros","MCV2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","COG","Congo","MCV2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","COK","Cook Islands","MCV2","99.0","95.0","90.0","95.0","98.0","95.0","98.0","96.0","98.0","61.0","95.0","98.0","99.0","97.0","86.0","88.0","61.0","50.0","70.0","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","CRI","Costa Rica","MCV2","93.0","93.0","87.0","90.0","90.0","92.0","95.0","80.0","79.0","84.0","89.0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","CIV","Cote d'Ivoire","MCV2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern Europe & Central Asia","HRV","Croatia","MCV2","95.0","95.0","96.0","96.0","97.0","97.0","97.0","98.0","98.0","98.0","98.0","98.0","98.0","98.0","98.0","98.0","98.0","98.0","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","CUB","Cuba","MCV2","99.0","99.0","99.0","99.0","98.0","97.0","96.0","95.0","98.0","95.0","98.0","99.0","97.0","53.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Western Europe","CYP","Cyprus","MCV2","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","89.0","93.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Western Europe","CZE","Czechia","MCV2","84.0","90.0","93.0","99.0","96.0","99.0","99.0","98.0","98.0","98.0","98.0","98.0","98.0","98.0","98.0","98.0","98.0","98.0","98.0","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","PRK","Democratic People's Republic of Korea","MCV2","99.0","98.0","98.0","85.0","76.0","76.0","76.0","76.0","76.0","75.0","75.0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","COD","Democratic Republic of the Congo","MCV2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Western Europe","DNK","Denmark","MCV2","90.0","88.0","85.0","80.0","84.0","86.0","87.0","86.0","85.0","85.0","87.0","88.0","91.0","91.0","88.0","88.0","92.0","87.0","","","","","","","","","","","","","","","","","","","","",""
"Eastern & Southern Africa","DJI","Djibouti","MCV2","81.0","81.0","81.0","82.0","82.0","82.0","82.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","DMA","Dominica","MCV2","81.0","81.0","92.0","94.0","89.0","91.0","94.0","94.0","95.0","95.0","95.0","95.0","99.0","99.0","99.0","99.0","99.0","62.0","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","DOM","Dominican Republic","MCV2","31.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","ECU","Ecuador","MCV2","74.0","73.0","64.0","76.0","59.0","70.0","81.0","92.0","91.0","99.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Middle East & North Africa","EGY","Egypt","MCV2","94.0","94.0","96.0","92.0","93.0","96.0","92.0","97.0","97.0","96.0","96.0","97.0","97.0","97.0","96.0","97.0","96.0","99.0","97.0","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","SLV","El Salvador","MCV2","85.0","86.0","87.0","88.0","85.0","85.0","95.0","81.0","78.0","82.0","79.0","86.0","89.0","85.0","80.0","77.0","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","GNQ","Equatorial Guinea","MCV2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern & Southern Africa","ERI","Eritrea","MCV2","88.0","88.0","88.0","88.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Western Europe","EST","Estonia","MCV2","88.0","91.0","92.0","92.0","93.0","92.0","94.0","95.0","95.0","96.0","97.0","96.0","98.0","98.0","97.0","96.0","94.0","84.0","89.0","","","","","","","","","","","","","","","","","","","",""
"Eastern & Southern Africa","SWZ","Eswatini","MCV2","75.0","70.0","76.0","83.0","89.0","89.0","52.0","92.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","","","","","","","","","","","","","","","","","","","","","",""
"Eastern & Southern Africa","ETH","Ethiopia","MCV2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","FJI","Fiji","MCV2","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","74.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Western Europe","FIN","Finland","MCV2","93.0","92.0","85.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Western Europe","FRA","France","MCV2","80.0","80.0","80.0","79.0","77.0","75.0","72.0","67.0","61.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","GAB","Gabon","MCV2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","GMB","Gambia","MCV2","71.0","68.0","79.0","81.0","73.0","53.0","56.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern Europe & Central Asia","GEO","Georgia","MCV2","96.0","90.0","85.0","91.0","87.0","89.0","79.0","77.0","84.0","71.0","87.0","92.0","88.0","87.0","75.0","57.0","40.0","8.0","","","","","","","","","","","","","","","","","","","","",""
"Western Europe","DEU","Germany","MCV2","93.0","93.0","93.0","93.0","93.0","93.0","93.0","93.0","93.0","93.0","92.0","92.0","90.0","91.0","89.0","83.0","77.0","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","GHA","Ghana","MCV2","83.0","83.0","75.0","63.0","67.0","54.0","52.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Western Europe","GRC","Greece","MCV2","83.0","83.0","83.0","83.0","83.0","83.0","83.0","77.0","77.0","77.0","77.0","77.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","GRD","Grenada","MCV2","74.0","79.0","85.0","89.0","92.0","85.0","75.0","85.0","86.0","78.0","86.0","86.0","87.0","81.0","61.0","68.0","74.0","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","GTM","Guatemala","MCV2","76.0","81.0","65.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","GIN","Guinea","MCV2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","GNB","Guinea-Bissau","MCV2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","GUY","Guyana","MCV2","84.0","93.0","94.0","95.0","91.0","95.0","90.0","84.0","82.0","84.0","84.0","90.0","74.0","72.0","63.0","71.0","80.0","88.0","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","HTI","Haiti","MCV2","38.0","25.0","26.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","HND","Honduras","MCV2","94.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Western Europe","HUN","Hungary","MCV2","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","","","","","","","","","","","","","","","","","","","",""
"Western Europe","ISL","Iceland","MCV2","95.0","95.0","95.0","94.0","93.0","94.0","97.0","90.0","92.0","93.0","94.0","95.0","93.0","90.0","89.0","92.0","","","","","","","","","","","","","","","","","","","","","","",""
"South Asia","IND","India","MCV2","80.0","80.0","76.0","69.0","60.0","51.0","36.0","27.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","IDN","Indonesia","MCV2","67.0","63.0","55.0","31.0","28.0","76.0","78.0","76.0","74.0","67.0","66.0","73.0","50.0","23.0","29.0","21.0","","","","","","","","","","","","","","","","","","","","","","",""
"Middle East & North Africa","IRN","Iran (Islamic Republic of)","MCV2","98.0","98.0","98.0","98.0","98.0","97.0","97.0","99.0","99.0","99.0","96.0","97.0","98.0","92.0","99.0","96.0","96.0","94.0","99.0","","","","","","","","","","","","","","","","","","","",""
"Middle East & North Africa","IRQ","Iraq","MCV2","81.0","88.0","78.0","76.0","67.0","57.0","68.0","77.0","77.0","87.0","76.0","64.0","52.0","58.0","41.0","45.0","48.0","52.0","","","","","","","","","","","","","","","","","","","","",""
"Western Europe","IRL","Ireland","MCV2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Middle East & North Africa","ISR","Israel","MCV2","96.0","96.0","97.0","97.0","96.0","95.0","89.0","87.0","93.0","92.0","91.0","90.0","96.0","96.0","97.0","97.0","97.0","97.0","","","","","","","","","","","","","","","","","","","","",""
"Western Europe","ITA","Italy","MCV2","89.0","86.0","82.0","83.0","83.0","84.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","JAM","Jamaica","MCV2","82.0","95.0","85.0","83.0","72.0","71.0","76.0","60.0","56.0","78.0","80.0","84.0","88.0","91.0","95.0","95.0","96.0","96.0","","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","JPN","Japan","MCV2","93.0","95.0","93.0","93.0","94.0","93.0","92.0","92.0","97.0","92.0","78.0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Middle East & North Africa","JOR","Jordan","MCV2","96.0","99.0","99.0","96.0","98.0","98.0","96.0","95.0","95.0","90.0","90.0","97.0","88.0","92.0","98.0","91.0","90.0","87.0","83.0","","","","","","","","","","","","","","","","","","","",""
"Eastern Europe & Central Asia","KAZ","Kazakhstan","MCV2","98.0","99.0","99.0","98.0","99.0","99.0","97.0","99.0","99.0","99.0","99.0","99.0","99.0","96.0","99.0","99.0","98.0","95.0","98.0","","","","","","","","","","","","","","","","","","","",""
"Eastern & Southern Africa","KEN","Kenya","MCV2","45.0","35.0","32.0","28.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","KIR","Kiribati","MCV2","79.0","79.0","79.0","76.0","80.0","84.0","9.0","61.0","21.0","35.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Middle East & North Africa","KWT","Kuwait","MCV2","99.0","99.0","99.0","96.0","86.0","99.0","99.0","99.0","99.0","94.0","86.0","90.0","96.0","77.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern Europe & Central Asia","KGZ","Kyrgyzstan","MCV2","96.0","96.0","98.0","96.0","97.0","97.0","98.0","98.0","98.0","98.0","97.0","95.0","97.0","98.0","98.0","98.0","98.0","98.0","96.0","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","LAO","Lao People's Democratic Republic","MCV2","57.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Western Europe","LVA","Latvia","MCV2","94.0","89.0","89.0","92.0","89.0","92.0","92.0","92.0","93.0","92.0","94.0","98.0","99.0","99.0","98.0","97.0","96.0","95.0","90.0","","","","","","","","","","","","","","","","","","","",""
"Middle East & North Africa","LBN","Lebanon","MCV2","63.0","63.0","63.0","63.0","63.0","65.0","68.0","70.0","73.0","75.0","65.0","55.0","45.0","34.0","24.0","14.0","28.0","42.0","56.0","","","","","","","","","","","","","","","","","","","",""
"Eastern & Southern Africa","LSO","Lesotho","MCV2","82.0","82.0","82.0","82.0","82.0","82.0","82.0","82.0","81.0","81.0","80.0","80.0","80.0","68.0","56.0","47.0","50.0","46.0","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","LBR","Liberia","MCV2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Middle East & North Africa","LBY","Libya","MCV2","96.0","94.0","96.0","97.0","92.0","95.0","97.0","97.0","97.0","97.0","97.0","97.0","96.0","95.0","95.0","90.0","86.0","81.0","","","","","","","","","","","","","","","","","","","","",""
"Western Europe","LTU","Lithuania","MCV2","92.0","92.0","92.0","92.0","92.0","92.0","93.0","94.0","95.0","94.0","96.0","96.0","94.0","95.0","93.0","93.0","95.0","96.0","97.0","","","","","","","","","","","","","","","","","","","",""
"Western Europe","LUX","Luxembourg","MCV2","90.0","86.0","86.0","86.0","86.0","86.0","86.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern & Southern Africa","MDG","Madagascar","MCV2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern & Southern Africa","MWI","Malawi","MCV2","72.0","67.0","61.0","8.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","MYS","Malaysia","MCV2","99.0","99.0","99.0","99.0","99.0","99.0","99.0","95.0","95.0","95.0","93.0","92.0","90.0","91.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"South Asia","MDV","Maldives","MCV2","99.0","99.0","99.0","99.0","97.0","99.0","99.0","96.0","96.0","96.0","76.0","56.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","MLI","Mali","MCV2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Western Europe","MLT","Malta","MCV2","95.0","83.0","86.0","91.0","94.0","88.0","91.0","85.0","85.0","85.0","83.0","77.0","86.0","60.0","31.0","2.0","","","","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","MHL","Marshall Islands","MCV2","61.0","62.0","49.0","70.0","53.0","56.0","58.0","74.0","90.0","66.0","79.0","91.0","60.0","71.0","92.0","90.0","70.0","6.0","6.0","","","","","","","","","","","","","","","","","","","",""
