"unicef_region","iso3","country","vaccine","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","1989","1988","1987","1986","1985","1984","1983","1982","1981","1980"
"South Asia","AFG","Afghanistan","MCV1","64.0","64.0","64.0","63.0","60.0","57.0","59.0","64.0","62.0","60.0","59.0","55.0","53.0","50.0","48.0","39.0","35.0","37.0","27.0","31.0","31.0","38.0","42.0","41.0","40.0","25.0","22.0","19.0","20.0","22.0","34.0","31.0","14.0","14.0","14.0","9.0","8.0","","11.0"
"Eastern Europe & Central Asia","ALB","Albania","MCV1","94.0","96.0","96.0","97.0","98.0","99.0","98.0","99.0","99.0","97.0","98.0","97.0","95.0","97.0","96.0","93.0","96.0","95.0","95.0","85.0","89.0","95.0","92.0","91.0","90.0","76.0","87.0","80.0","88.0","96.0","96.0","96.0","96.0","96.0","96.0","96.0","93.0","90.0","90.0"
"Middle East & North Africa","DZA","Algeria","MCV1","80.0","88.0","94.0","95.0","95.0","95.0","95.0","95.0","95.0","92.0","88.0","92.0","91.0","83.0","81.0","84.0","81.0","83.0","80.0","83.0","84.0","92.0","90.0","89.0","88.0","87.0","86.0","85.0","83.0","82.0","81.0","73.0","67.0","68.0","","","","",""
"Western Europe","AND","Andorra","MCV1","99.0","99.0","97.0","96.0","96.0","95.0","98.0","99.0","99.0","98.0","98.0","94.0","91.0","94.0","98.0","96.0","98.0","97.0","97.0","97.0","90.0","90.0","","","","","","","","","","","","","","","","",""
"Eastern & Southern Africa","AGO","Angola","MCV1","50.0","42.0","45.0","51.0","56.0","59.0","65.0","57.0","62.0","46.0","48.0","58.0","21.0","21.0","43.0","44.0","59.0","60.0","32.0","40.0","59.0","78.0","62.0","46.0","44.0","47.0","39.0","39.0","38.0","48.0","56.0","55.0","44.0","44.0","35.0","26.0","","",""
"Latin America & Caribbean","ATG","Antigua and Barbuda","MCV1","96.0","99.0","88.0","91.0","93.0","96.0","98.0","99.0","98.0","99.0","99.0","99.0","99.0","99.0","97.0","99.0","99.0","97.0","95.0","99.0","99.0","93.0","99.0","93.0","91.0","99.0","99.0","87.0","89.0","95.0","95.0","89.0","80.0","69.0","73.0","48.0","","",""
"Latin America & Caribbean","ARG","Argentina","MCV1","94.0","89.0","90.0","89.0","95.0","94.0","94.0","95.0","95.0","96.0","96.0","94.0","97.0","98.0","99.0","97.0","95.0","89.0","91.0","97.0","95.0","93.0","99.0","99.0","96.0","95.0","92.0","99.0","93.0","89.0","87.0","80.0","87.0","54.0","79.0","67.0","67.0","77.0","61.0"
"Eastern Europe & Central Asia","ARM","Armenia","MCV1","95.0","96.0","97.0","97.0","97.0","97.0","97.0","97.0","97.0","96.0","94.0","92.0","92.0","94.0","92.0","94.0","91.0","93.0","92.0","92.0","94.0","92.0","89.0","96.0","95.0","95.0","93.0","","","","","","","","","","","",""
"East Asia & Pacific","AUS","Australia","MCV1","95.0","95.0","95.0","95.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","92.0","91.0","88.0","82.0","85.0","87.0","87.0","86.0","86.0","86.0","86.0","86.0","85.0","77.0","68.0","68.0","68.0","68.0","68.0","","",""
"Western Europe","AUT","Austria","MCV1","94.0","96.0","95.0","96.0","96.0","92.0","88.0","84.0","80.0","76.0","83.0","79.0","80.0","75.0","74.0","79.0","78.0","79.0","75.0","65.0","78.0","90.0","87.0","60.0","60.0","60.0","60.0","60.0","60.0","60.0","60.0","60.0","60.0","40.0","30.0","25.0","25.0","25.0",""
